MatchDate,Opposition,Ground,Runs,Mins,Balls Faced,4s,6s,Strike Rate,Batting Position,Dismissal,Inns,Match,Year
23-May-99,Kenya,Bristol,140,114,101,16,3,138.61,4,not out,1,213,1999
15-May-99,South Africa,Hove,28,71,46,5,0,60.86,2,caught,1,212,1999
16-Jan-99,New Zealand,Auckland,5,27,12,1,0,41.66,1,lbw,2,211,1999
14-Jan-99,New Zealand,Wellington,45,68,42,2,2,107.14,2,stumped,1,210,1999
12-Jan-99,New Zealand,Napier,23,37,19,4,0,121.05,2,caught,2,209,1999
09-Jan-99,New Zealand,Taupo,0,10,5,0,0,0,2,caught,1,208,1999
13-Nov-98,Zimbabwe,Sharjah,124,140,92,12,6,134.78,2,not out,2,207,1998
11-Nov-98,Zimbabwe,Sharjah,11,33,12,2,0,91.66,2,caught,2,206,1998
09-Nov-98,Sri Lanka,Sharjah,18,57,28,2,0,64.28,1,caught,1,205,1998
08-Nov-98,Zimbabwe,Sharjah,118,173,112,14,2,105.35,2,not out,2,204,1998
06-Nov-98,Sri Lanka,Sharjah,3,15,6,0,0,50,2,caught,2,203,1998
31-Oct-98,West Indies,Dhaka,8,20,14,1,0,57.14,2,caught,1,202,1998
28-Oct-98,Australia,Dhaka,141,191,128,13,3,110.15,2,run out,1,201,1998
30-Sep-98,Zimbabwe,Harare,2,7,6,0,0,33.33,2,caught,2,200,1998
27-Sep-98,Zimbabwe,Bulawayo,29,33,21,4,1,138.09,1,caught,2,199,1998
26-Sep-98,Zimbabwe,Bulawayo,127,155,130,13,1,97.69,2,not out,2,198,1998
20-Sep-98,Pakistan,Toronto,77,157,109,9,0,70.64,2,caught,1,197,1998
07-Jul-98,Sri Lanka,Colombo (RPS),128,182,131,8,2,97.7,2,stumped,1,196,1998
03-Jul-98,New Zealand,Colombo (SSC),-1,-1,-1,-1,-1,-1,-1,-1,,195,1998
01-Jul-98,Sri Lanka,Colombo (SSC),17,28,16,4,0,106.25,2,caught,2,194,1998
23-Jun-98,New Zealand,Colombo (RPS),53,43,36,3,3,147.22,2,caught,2,193,1998
19-Jun-98,Sri Lanka,Colombo (RPS),65,79,50,9,0,130,2,caught,2,192,1998
31-May-98,Kenya,Kolkata,100,156,103,13,0,97.08,2,not out,2,191,1998
28-May-98,Kenya,Gwalior,18,33,25,2,0,72,2,caught,2,190,1998
25-May-98,Bangladesh,Mumbai,33,48,29,6,0,113.79,2,caught,2,189,1998
24-Apr-98,Australia,Sharjah,134,195,131,12,3,102.29,2,lbw,2,188,1998
22-Apr-98,Australia,Sharjah,143,187,131,9,5,109.16,2,caught,2,187,1998
20-Apr-98,New Zealand,Sharjah,38,93,58,2,0,65.51,1,run out,1,186,1998
19-Apr-98,Australia,Sharjah,80,136,72,9,0,111.11,2,caught,2,185,1998
17-Apr-98,New Zealand,Sharjah,40,62,41,5,1,97.56,1,caught,1,184,1998
14-Apr-98,Australia,Delhi,15,45,24,2,0,62.5,2,caught,1,183,1998
